algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
lineal,10000,centro,5,5001,3700,0
binaria,10000,centro,5,13,100,1224000
lineal,10000,centro,6,5001,3700,0
binaria,10000,centro,6,13,100,1224000
lineal,10000,centro,7,5001,3700,0
binaria,10000,centro,7,13,0,1224000
lineal,10000,centro,8,5001,3700,0
binaria,10000,centro,8,13,100,1224000
lineal,10000,centro,9,5001,3700,0
binaria,10000,centro,9,13,100,1224000
lineal,10000,centro,10,5001,3600,0
binaria,10000,centro,10,13,100,1224000
lineal,10000,centro,11,5001,3700,0
binaria,10000,centro,11,13,100,1224000
lineal,10000,centro,12,5001,3700,0
binaria,10000,centro,12,13,100,1224000
lineal,10000,centro,13,5001,3600,0
binaria,10000,centro,13,13,100,1224000
lineal,10000,centro,14,5001,3700,0
binaria,10000,centro,14,13,100,1224000
lineal,10000,centro,15,5001,3600,0
binaria,10000,centro,15,13,100,1224000
lineal,10000,centro,16,5001,3700,0
binaria,10000,centro,16,13,100,1224000
lineal,10000,centro,17,5001,3600,0
binaria,10000,centro,17,13,100,1224000
lineal,10000,centro,18,5001,3700,0
binaria,10000,centro,18,13,100,1224000
lineal,10000,centro,19,5001,3700,0
binaria,10000,centro,19,13,100,1224000
lineal,10000,centro,20,5001,3600,0
binaria,10000,centro,20,13,200,1224000
lineal,10000,centro,21,5001,3700,0
binaria,10000,centro,21,13,100,1224000
lineal,10000,centro,22,5001,3600,0
binaria,10000,centro,22,13,100,1224000
lineal,10000,centro,23,5001,3700,0
binaria,10000,centro,23,13,100,1224000
lineal,10000,centro,24,5001,5500,0
binaria,10000,centro,24,13,100,1224000
lineal,10000,centro,25,5001,3700,0
binaria,10000,centro,25,13,100,1224000
lineal,10000,centro,26,5001,3700,0
binaria,10000,centro,26,13,0,1224000
lineal,10000,centro,27,5001,3600,0
binaria,10000,centro,27,13,100,1224000
lineal,10000,centro,28,5001,3700,0
binaria,10000,centro,28,13,100,1224000
lineal,10000,centro,29,5001,3600,0
binaria,10000,centro,29,13,100,1224000
lineal,10000,final,0,10000,7200,0
binaria,10000,final,0,14,300,1224000
lineal,10000,final,1,10000,7300,0
binaria,10000,final,1,14,200,1224000
lineal,10000,final,2,10000,7300,0
binaria,10000,final,2,14,100,1224000
lineal,10000,final,3,10000,7300,0
binaria,10000,final,3,14,100,1224000
lineal,10000,final,4,10000,7300,0
binaria,10000,final,4,14,100,1224000
lineal,10000,final,5,10000,7300,0
binaria,10000,final,5,14,100,1224000
lineal,10000,final,6,10000,7300,0
binaria,10000,final,6,14,100,1224000
lineal,10000,final,7,10000,7300,0
binaria,10000,final,7,14,100,1224000
lineal,10000,final,8,10000,7200,0
binaria,10000,final,8,14,200,1224000
lineal,10000,final,9,10000,7200,0
binaria,10000,final,9,14,100,1224000
lineal,10000,final,10,10000,7300,0
binaria,10000,final,10,14,200,1224000
lineal,10000,final,11,10000,7300,0
binaria,10000,final,11,14,100,1224000
lineal,10000,final,12,10000,7300,0
binaria,10000,final,12,14,100,1224000
lineal,10000,final,13,10000,7300,0
binaria,10000,final,13,14,100,1224000
lineal,10000,final,14,10000,7300,0
binaria,10000,final,14,14,100,1224000
lineal,10000,final,15,10000,7300,0
binaria,10000,final,15,14,100,1224000
lineal,10000,final,16,10000,7200,0
binaria,10000,final,16,14,100,1224000
lineal,10000,final,17,10000,7200,0
binaria,10000,final,17,14,100,1224000
lineal,10000,final,18,10000,7300,0
binaria,10000,final,18,14,100,1224000
lineal,10000,final,19,10000,7200,0
binaria,10000,final,19,14,100,1224000
lineal,10000,final,20,10000,7200,0
binaria,10000,final,20,14,100,1224000
lineal,10000,final,21,10000,7300,0
binaria,10000,final,21,14,100,1224000
lineal,10000,final,22,10000,7300,0
binaria,10000,final,22,14,100,1224000
lineal,10000,final,23,10000,7300,0
binaria,10000,final,23,14,100,1224000
lineal,10000,final,24,10000,7300,0
binaria,10000,final,24,14,100,1224000
lineal,10000,final,25,10000,7300,0
binaria,10000,final,25,14,100,1224000
lineal,10000,final,26,10000,7300,0
binaria,10000,final,26,14,100,1224000
lineal,10000,final,27,10000,7300,0
binaria,10000,final,27,14,100,1224000
lineal,10000,final,28,10000,7300,0
binaria,10000,final,28,14,100,1224000
lineal,10000,final,29,10000,7300,0
binaria,10000,final,29,14,100,1224000
lineal,10000,ausente,0,10000,7300,0
binaria,10000,ausente,0,14,200,1224000
lineal,10000,ausente,1,10000,7300,0
binaria,10000,ausente,1,14,100,1224000
lineal,10000,ausente,2,10000,7300,0
binaria,10000,ausente,2,14,100,1224000
lineal,10000,ausente,3,10000,25600,0
binaria,10000,ausente,3,14,100,1224000
lineal,10000,ausente,4,10000,7400,0
binaria,10000,ausente,4,14,100,1224000
lineal,10000,ausente,5,10000,7300,0
binaria,10000,ausente,5,14,200,1224000
lineal,10000,ausente,6,10000,7200,0
binaria,10000,ausente,6,14,100,1224000
lineal,10000,ausente,7,10000,7300,0
binaria,10000,ausente,7,14,100,1224000
lineal,10000,ausente,8,10000,7300,0
binaria,10000,ausente,8,14,100,1224000
lineal,10000,ausente,9,10000,7300,0
binaria,10000,ausente,9,14,100,1224000
lineal,10000,ausente,10,10000,7300,0
binaria,10000,ausente,10,14,100,1224000
lineal,10000,ausente,11,10000,7200,0
binaria,10000,ausente,11,14,200,1224000
lineal,10000,ausente,12,10000,7200,0
binaria,10000,ausente,12,14,100,1224000
lineal,10000,ausente,13,10000,7300,0
binaria,10000,ausente,13,14,100,1224000
lineal,10000,ausente,14,10000,7300,0
binaria,10000,ausente,14,14,100,1224000
lineal,10000,ausente,15,10000,7300,0
binaria,10000,ausente,15,14,100,1224000
lineal,10000,ausente,16,10000,7300,0
binaria,10000,ausente,16,14,100,1224000
lineal,10000,ausente,17,10000,7300,0
binaria,10000,ausente,17,14,100,1224000
lineal,10000,ausente,18,10000,7200,0
binaria,10000,ausente,18,14,100,1224000
lineal,10000,ausente,19,10000,7200,0
binaria,10000,ausente,19,14,200,1224000
lineal,10000,ausente,20,10000,7300,0
binaria,10000,ausente,20,14,100,1224000
lineal,10000,ausente,21,10000,7300,0
binaria,10000,ausente,21,14,100,1224000
lineal,10000,ausente,22,10000,7300,0
binaria,10000,ausente,22,14,100,1224000
lineal,10000,ausente,23,10000,7300,0
binaria,10000,ausente,23,14,100,1224000
lineal,10000,ausente,24,10000,7300,0
binaria,10000,ausente,24,14,100,1224000
lineal,10000,ausente,25,10000,7300,0
binaria,10000,ausente,25,14,100,1224000
lineal,10000,ausente,26,10000,7300,0
binaria,10000,ausente,26,14,100,1224000
lineal,10000,ausente,27,10000,7300,0
binaria,10000,ausente,27,14,100,1224000
lineal,10000,ausente,28,10000,7300,0
binaria,10000,ausente,28,14,100,1224000
lineal,10000,ausente,29,10000,7300,0
binaria,10000,ausente,29,14,100,1224000
lineal,100000,inicio,0,1,100,0
binaria,100000,inicio,0,16,500,18660500
lineal,100000,inicio,1,1,100,0
binaria,100000,inicio,1,16,200,18660500
lineal,100000,inicio,2,1,0,0
binaria,100000,inicio,2,16,200,18660500
