algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
lineal,1000,inicio,6,1,700,0
binaria,1000,inicio,6,9,2900,307200
lineal,1000,inicio,7,1,900,0
binaria,1000,inicio,7,9,2800,307200
lineal,1000,inicio,8,1,800,0
binaria,1000,inicio,8,9,2800,307200
lineal,1000,inicio,9,1,1900,0
binaria,1000,inicio,9,9,3200,307200
lineal,1000,inicio,10,1,900,0
binaria,1000,inicio,10,9,3100,307200
lineal,1000,inicio,11,1,900,0
binaria,1000,inicio,11,9,2900,307200
lineal,1000,inicio,12,1,1000,0
binaria,1000,inicio,12,9,3300,307200
lineal,1000,inicio,13,1,1000,0
binaria,1000,inicio,13,9,3200,307200
lineal,1000,inicio,14,1,800,0
binaria,1000,inicio,14,9,3200,307200
lineal,1000,inicio,15,1,800,0
binaria,1000,inicio,15,9,2900,307200
lineal,1000,inicio,16,1,800,0
binaria,1000,inicio,16,9,3000,307200
lineal,1000,inicio,17,1,700,0
binaria,1000,inicio,17,9,3100,307200
lineal,1000,inicio,18,1,1400,0
binaria,1000,inicio,18,9,3100,307200
lineal,1000,inicio,19,1,900,0
binaria,1000,inicio,19,9,3200,307200
lineal,1000,inicio,20,1,1000,0
binaria,1000,inicio,20,9,3300,307200
lineal,1000,inicio,21,1,1200,0
binaria,1000,inicio,21,9,3300,307200
lineal,1000,inicio,22,1,1100,0
binaria,1000,inicio,22,9,3100,307200
lineal,1000,inicio,23,1,800,0
binaria,1000,inicio,23,9,3100,307200
lineal,1000,inicio,24,1,800,0
binaria,1000,inicio,24,9,2900,307200
lineal,1000,inicio,25,1,900,0
binaria,1000,inicio,25,9,3500,307200
lineal,1000,inicio,26,1,800,0
binaria,1000,inicio,26,9,2900,307200
lineal,1000,inicio,27,1,800,0
binaria,1000,inicio,27,9,2900,307200
lineal,1000,inicio,28,1,800,0
binaria,1000,inicio,28,9,2900,307200
lineal,1000,inicio,29,1,900,0
binaria,1000,inicio,29,9,3100,307200
lineal,1000,centro,0,501,82000,0
binaria,1000,centro,0,9,5500,307200
lineal,1000,centro,1,501,412300,0
binaria,1000,centro,1,9,7100,307200
lineal,1000,centro,2,501,69600,0
binaria,1000,centro,2,9,4700,307200
lineal,1000,centro,3,501,75900,0
binaria,1000,centro,3,9,4100,307200
lineal,1000,centro,4,501,82600,0
binaria,1000,centro,4,9,3000,307200
lineal,1000,centro,5,501,56400,0
binaria,1000,centro,5,9,2700,307200
lineal,1000,centro,6,501,56000,0
binaria,1000,centro,6,9,2700,307200
lineal,1000,centro,7,501,63000,0
binaria,1000,centro,7,9,2800,307200
lineal,1000,centro,8,501,56900,0
binaria,1000,centro,8,9,2600,307200
lineal,1000,centro,9,501,57100,0
binaria,1000,centro,9,9,2700,307200
lineal,1000,centro,10,501,59000,0
binaria,1000,centro,10,9,2500,307200
lineal,1000,centro,11,501,59400,0
binaria,1000,centro,11,9,2700,307200
lineal,1000,centro,12,501,56200,0
binaria,1000,centro,12,9,2600,307200
lineal,1000,centro,13,501,57900,0
binaria,1000,centro,13,9,2700,307200
lineal,1000,centro,14,501,56700,0
binaria,1000,centro,14,9,2600,307200
lineal,1000,centro,15,501,56400,0
binaria,1000,centro,15,9,2600,307200
lineal,1000,centro,16,501,57800,0
binaria,1000,centro,16,9,2700,307200
lineal,1000,centro,17,501,66100,0
binaria,1000,centro,17,9,5600,307200
lineal,1000,centro,18,501,61600,0
binaria,1000,centro,18,9,2900,307200
lineal,1000,centro,19,501,56500,0
binaria,1000,centro,19,9,2800,307200
lineal,1000,centro,20,501,57400,0
binaria,1000,centro,20,9,2700,307200
lineal,1000,centro,21,501,56800,0
binaria,1000,centro,21,9,2700,307200
lineal,1000,centro,22,501,57100,0
binaria,1000,centro,22,9,2700,307200
lineal,1000,centro,23,501,57400,0
binaria,1000,centro,23,9,2700,307200
lineal,1000,centro,24,501,55800,0
binaria,1000,centro,24,9,2700,307200
lineal,1000,centro,25,501,56100,0
binaria,1000,centro,25,9,2700,307200
lineal,1000,centro,26,501,57400,0
binaria,1000,centro,26,9,2800,307200
lineal,1000,centro,27,501,74800,0
binaria,1000,centro,27,9,3100,307200
lineal,1000,centro,28,501,58300,0
binaria,1000,centro,28,9,2800,307200
lineal,1000,centro,29,501,58800,0
binaria,1000,centro,29,9,2800,307200
lineal,1000,final,0,1000,111900,0
binaria,1000,final,0,10,4000,307200
lineal,1000,final,1,1000,113400,0
binaria,1000,final,1,10,5200,307200
lineal,1000,final,2,1000,116600,0
binaria,1000,final,2,10,3300,307200
lineal,1000,final,3,1000,113100,0
binaria,1000,final,3,10,3100,307200
lineal,1000,final,4,1000,109000,0
binaria,1000,final,4,10,3100,307200
lineal,1000,final,5,1000,113400,0
binaria,1000,final,5,10,3000,307200
lineal,1000,final,6,1000,114000,0
binaria,1000,final,6,10,3000,307200
lineal,1000,final,7,1000,116800,0
binaria,1000,final,7,10,3000,307200
lineal,1000,final,8,1000,112400,0
binaria,1000,final,8,10,3000,307200
lineal,1000,final,9,1000,108500,0
binaria,1000,final,9,10,2900,307200
lineal,1000,final,10,1000,231500,0
